"File","LinkText","LinkTarget"
"docs\advanced\api-gateways.md","Web Apps Behind Proxies","web-apps-behind-proxies.md"
"docs\advanced\api-gateways.md","Quickstart: Web API","../getting-started/quickstart-webapi.md"
"docs\advanced\api-gateways.md","Calling Downstream APIs from Web APIs","../calling-downstream-apis/from-web-apis.md"
"docs\advanced\api-gateways.md","Authorization Guide","../authentication/authorization.md"
"docs\advanced\api-gateways.md","Logging & Diagnostics","logging.md"
"docs\advanced\api-gateways.md","Multiple Authentication Schemes","multiple-auth-schemes.md"
"docs\advanced\customization.md","Overview","#overview"
"docs\advanced\customization.md","Configuration Customization","#configuration-customization"
"docs\advanced\customization.md","Event Handler Customization","#event-handler-customization"
"docs\advanced\customization.md","Token Acquisition Customization","#token-acquisition-customization"
"docs\advanced\customization.md","UI Customization","#ui-customization"
"docs\advanced\customization.md","Sign-In Experience Customization","#sign-in-experience-customization"
"docs\advanced\customization.md","Best Practices","#best-practices"
"docs\advanced\customization.md","Authorization Guide","../authentication/authorization.md"
"docs\advanced\customization.md","Logging & Diagnostics","logging.md"
"docs\advanced\customization.md","Token Cache","../authentication/token-cache/README.md"
"docs\advanced\customization.md","Quickstart: Web App","../getting-started/quickstart-webapp.md"
"docs\advanced\logging.md","Overview","#overview"
"docs\advanced\logging.md","Quick Start","#quick-start"
"docs\advanced\logging.md","Configuration","#configuration"
"docs\advanced\logging.md","Log Levels","#log-levels"
"docs\advanced\logging.md","PII Logging","#pii-logging"
"docs\advanced\logging.md","Correlation IDs","#correlation-ids"
"docs\advanced\logging.md","Token Cache Logging","#token-cache-logging"
"docs\advanced\logging.md","Troubleshooting","#troubleshooting"
"docs\advanced\logging.md","Customization Guide","customization.md"
"docs\advanced\logging.md","Authorization Guide","../authentication/authorization.md"
"docs\advanced\logging.md","Token Cache Troubleshooting","../authentication/token-cache/troubleshooting.md"
"docs\advanced\logging.md","Calling Downstream APIs","../calling-downstream-apis/README.md"
"docs\advanced\web-apps-behind-proxies.md","Quickstart: Web App","../getting-started/quickstart-webapp.md"
"docs\advanced\web-apps-behind-proxies.md","APIs Behind Gateways","api-gateways.md"
"docs\advanced\web-apps-behind-proxies.md","Token Cache Configuration","../authentication/token-cache/README.md"
"docs\advanced\web-apps-behind-proxies.md","Customization Guide","customization.md"
"docs\advanced\web-apps-behind-proxies.md","Logging & Diagnostics","logging.md"
"docs\authentication\credentials\certificateless.md","Back to Credentials Overview","./README.md"
"docs\authentication\credentials\certificateless.md","Certificates Guide","./certificates.md"
"docs\authentication\credentials\certificateless.md","Calling Downstream APIs","../../calling-downstream-apis/README.md"
"docs\authentication\credentials\certificateless.md","Deployment Guide","../../deployment/azure-app-service.md"
"docs\authentication\credentials\certificateless.md","troubleshooting guides","../../scenarios/web-apps/troubleshooting.md"
"docs\authentication\credentials\certificates.md","Certificateless Authentication","./certificateless.md"
"docs\authentication\credentials\certificates.md","Azure Key Vault","#azure-key-vault"
"docs\authentication\credentials\certificates.md","Certificate Store","#certificate-store"
"docs\authentication\credentials\certificates.md","File Path","#file-path"
"docs\authentication\credentials\certificates.md","Base64 Encoded","#base64-encoded"
"docs\authentication\credentials\certificates.md","Back to Credentials Overview","./README.md"
"docs\authentication\credentials\certificates.md","Certificateless Authentication","./certificateless.md"
"docs\authentication\credentials\certificates.md","Client Secrets","./client-secrets.md"
"docs\authentication\credentials\certificates.md","Calling Downstream APIs","../../calling-downstream-apis/README.md"
"docs\authentication\credentials\certificates.md","troubleshooting guides","../../scenarios/web-apps/troubleshooting.md"
"docs\authentication\credentials\client-secrets.md","Certificateless Authentication","./certificateless.md"
"docs\authentication\credentials\client-secrets.md","Certificate-Based Authentication","./certificates.md"
"docs\authentication\credentials\client-secrets.md","Certificate-Based Authentication","./certificates.md"
"docs\authentication\credentials\client-secrets.md","Certificateless Authentication","./certificateless.md"
"docs\authentication\credentials\client-secrets.md","Certificateless Authentication","./certificateless.md"
"docs\authentication\credentials\client-secrets.md","Certificate-Based Authentication","./certificates.md"
"docs\authentication\credentials\client-secrets.md","Back to Credentials Overview","./README.md"
"docs\authentication\credentials\client-secrets.md","Calling Downstream APIs","../../calling-downstream-apis/README.md"
"docs\authentication\credentials\client-secrets.md","Security Best Practices","../../advanced/security-best-practices.md"
"docs\authentication\credentials\client-secrets.md","troubleshooting guides","../../scenarios/web-apps/troubleshooting.md"
"docs\authentication\credentials\README.md","Learn more about certificateless authentication →","./certificateless.md"
"docs\authentication\credentials\README.md","Learn more about Key Vault certificates →","./certificates.md#key-vault"
"docs\authentication\credentials\README.md","Learn more about certificate store →","./certificates.md#certificate-store"
